Aparência;Temperatura;Umidade;Vento;Jogar
Ensolarado;71;69;Fraco;Sim
Nublado;75;78;Fraco;Sim
Chuvoso;64;90;Forte;Não
Ensolarado;86;88;Forte;Não
Nublado;72;68;Fraco;Sim
Chuvoso;70;82;Fraco;Sim
Ensolarado;66;63;Fraco;Sim
Nublado;81;77;Fraco;Sim
Chuvoso;59;95;Fraco;Não
Ensolarado;78;80;Fraco;Sim
Nublado;69;65;Fraco;Sim
Chuvoso;76;89;Forte;Não
Ensolarado;63;57;Fraco;Sim
Nublado;74;71;Fraco;Sim
Chuvoso;67;84;Fraco;Sim
Ensolarado;88;93;Forte;Não
Nublado;70;66;Fraco;Sim
Chuvoso;72;85;Fraco;Não
Ensolarado;75;81;Fraco;Sim
Nublado;65;62;Fraco;Sim
Chuvoso;71;90;Forte;Não
Ensolarado;68;74;Fraco;Sim
Nublado;77;73;Fraco;Sim
Chuvoso;63;88;Fraco;Não
Ensolarado;82;86;Forte;Não
Nublado;66;69;Fraco;Sim
Chuvoso;74;91;Fraco;Não
Ensolarado;70;72;Fraco;Sim
Nublado;73;75;Fraco;Sim
Chuvoso;61;87;Fraco;Sim
Ensolarado;79;89;Forte;Não
Nublado;64;60;Fraco;Sim
Chuvoso;69;83;Fraco;Sim
Ensolarado;76;85;Fraco;Sim
Nublado;68;67;Fraco;Sim
Chuvoso;62;92;Forte;Não
Ensolarado;81;90;Forte;Não
Nublado;71;70;Fraco;Sim
Chuvoso;65;86;Fraco;Sim
Ensolarado;67;64;Fraco;Sim
Nublado;78;82;Fraco;Sim
Chuvoso;60;84;Fraco;Sim
Ensolarado;85;91;Forte;Não
Nublado;69;68;Fraco;Sim
Chuvoso;72;88;Fraco;Não
Ensolarado;73;77;Fraco;Sim
Nublado;66;63;Fraco;Sim
Chuvoso;75;90;Forte;Não
Ensolarado;64;59;Fraco;Sim
Nublado;80;74;Fraco;Sim
Chuvoso;68;81;Fraco;Sim
